# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\altera\13.0\digi_clock\0207.csv
# Generated on: Thu Nov 24 14:07:42 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_F18,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_B22,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_B21,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_C21,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_A21,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_D21,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_A22,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_F17,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_G20,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_E17,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_G16,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_C14,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_B19,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_G17,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_J15,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_H15,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_C13,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_F15,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_D15,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_D13,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_E15,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_H17,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_B17,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_C18,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_A17,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_J17,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_E18,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_G15,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_H19,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_A18,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_A19,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_E25,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_C19,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_B18,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_D19,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_E19,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_C22,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_F19,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_C24,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_D12,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_D22,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_D24,,,,,
KEY[3],Input,PIN_R24,5,B5_N0,PIN_Y3,,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_AD24,,,,,
KEY[1],Input,PIN_M21,6,B6_N1,PIN_J27,,,,,
KEY[0],Input,,,,PIN_Y2,,,,,
SW[17],Input,,,,PIN_H21,,,,,
SW[16],Input,,,,PIN_G21,,,,,
SW[15],Input,,,,PIN_J19,,,,,
SW[14],Input,,,,PIN_J28,,,,,
SW[13],Input,,,,PIN_D20,,,,,
SW[12],Input,,,,PIN_D18,,,,,
SW[11],Input,,,,PIN_C20,,,,,
SW[10],Input,,,,PIN_C17,,,,,
SW[9],Input,,,,PIN_D17,,,,,
SW[8],Input,,,,PIN_C15,,,,,
SW[7],Input,,,,PIN_E24,,,,,
SW[6],Input,,,,PIN_G19,,,,,
SW[5],Input,,,,PIN_D16,,,,,
SW[4],Input,,,,PIN_G18,,,,,
SW[3],Input,,,,PIN_C16,,,,,
SW[2],Input,,,,PIN_H16,,,,,
SW[1],Input,,,,PIN_J16,,,,,
SW[0],Input,,,,PIN_G22,,,,,
